YEAR/I:MONTH/I:DAY/I:T/F
1775 01 01 -7.4
1775 01 02 -3.1
1775 01 03 -0.8
1775 01 04 -0.6
1775 01 05 2.3
1775 01 06 2.8
1775 01 07 3.5
1775 01 08 3.9
1775 01 09 4.5
1775 01 10 1.6
1775 01 11 4.0
1775 01 12 3.5
1775 01 13 2.8
1775 01 14 3.5
1775 01 15 2.1
1775 01 16 0.0
1775 01 17 1.6
1775 01 18 -0.6
1775 01 19 0.6
1775 01 20 -0.8
1775 01 21 -0.3
1775 01 22 -1.3
1775 01 23 -4.8
1775 01 24 -9.7
1775 01 25 -10.8
1775 01 26 -9.6
1775 01 27 -1.3
1775 01 28 -4.3
1775 01 29 2.5
1775 01 30 8.2
1775 01 31 8.0
1775 02 01 8.3
1775 02 02 6.7
1775 02 03 8.0
1775 02 04 10.9
1775 02 05 3.6
1775 02 06 -5.5
1775 02 07 -5.0
1775 02 08 3.1
1775 02 09 8.8
1775 02 10 12.7
1775 02 11 12.8
1775 02 12 7.8
1775 02 13 5.0
1775 02 14 3.0
1775 02 15 5.0
1775 02 16 2.8
1775 02 17 2.1
1775 02 18 3.0
1775 02 19 5.5
1775 02 20 3.5
1775 02 21 5.2
1775 02 22 4.7
1775 02 23 4.8
1775 02 24 5.1
1775 02 25 6.1
1775 02 26 5.1
1775 02 27 3.8
1775 02 28 4.7
1775 03 01 1.1
1775 03 02 1.9
1775 03 03 3.0
1775 03 04 4.0
1775 03 05 4.4
1775 03 06 4.6
1775 03 07 7.0
1775 03 08 10.1
1775 03 09 7.8
1775 03 10 8.7
1775 03 11 5.5
1775 03 12 6.7
1775 03 13 5.6
1775 03 14 3.4
1775 03 15 5.0
1775 03 16 5.2
1775 03 17 6.4
1775 03 18 7.6
1775 03 19 8.3
1775 03 20 8.3
1775 03 21 9.0
1775 03 22 10.6
1775 03 23 10.2
1775 03 24 11.1
1775 03 25 11.1
1775 03 26 6.8
1775 03 27 4.2
1775 03 28 2.9
1775 03 29 4.5
1775 03 30 5.2
1775 03 31 3.7
1775 04 01 3.6
1775 04 02 5.2
1775 04 03 6.8
1775 04 04 6.6
1775 04 05 6.1
1775 04 06 8.2
1775 04 07 8.2
1775 04 08 6.1
1775 04 09 5.5
1775 04 10 2.5
1775 04 11 2.8
1775 04 12 2.5
1775 04 13 0.8
1775 04 14 -1.2
1775 04 15 2.0
1775 04 16 3.6
1775 04 17 7.3
1775 04 18 7.0
1775 04 19 6.4
1775 04 20 5.2
1775 04 21 7.5
1775 04 22 6.8
1775 04 23 7.8
1775 04 24 8.2
1775 04 25 10.0
1775 04 26 11.8
