  202    15    58    28     0    10    13     40      11975   PS  DE
  530    15    63    33     0     9    13     40      10228   EP  CH
  316    15    56    31     2     9    13     40      10730   PS  FR
  361    15    61    35     0     9     7     40       9311   PS  FR
  302    15    52    24     2     9     8     40       9966   PS  DE
  303    15    60    33     0     7    13     40       7599   PS  IT
  302    15    53    25     1     9     9     40       9868   ST  CH
  361    15    60    32     1     8     5     40       8012   PS  IT
  340    15    51    28     0     8    13     40       8813   PS  DE
  361    15    56    32     1     7    13     40       7850   PS  FR
  361    15    51    29     0     7    13     40       7599   PS  FR
  303    15    54    31     2     8    13     40       9315   PS  CH
  302    15    54    29     0     7    13     40       7599   PS  CH
  300    15    46    25     0     8     6     40       7892   PS  CH
  361    15    54    26     1     7    13     40       7850   PS  DE
  361    15    57    29     0     7    13     40       7599   PS  FR
  316    11    55    28     0     8    11     40       8137   PS  CH
  303    15    55    26     1     7    13     40       7850  SPS  FR
  361    15    57    29     1     7     8     40       7294   PS  FR
  361    15    51    28     2     7    13     40       8101   PS  FR
  419    13    54    29     0     5    13     40       5720   PS  FR
  202    15    57    26     1    12    13     40      15832   PS  DE
  304    15    63    29     1    10    13     40      12226   PS  NL
  204    15    56    27     0    11     9     40      13135   PS  DE
  204    15    49    27     0     9     9     40       9617  LEP  GB
  304    15    52    26     2     8    10     40       8920   PS  FR
  304    15    56    28     1     9     6     40       9409   PS  FR
  202    15    58    27     0    11    13     40      15340   PS  FR
  204    15    54    27     1    11     9     40      13386   EF  FR
  202    11    59    33     0    13    10     40      16394   EF  IT
  202    15    63    33     1    11    13     40      15591   PS  IT
  302    13    58    33     0     9    13     40       9341   PS  DE
  304    15    63    33     0    10     8     40      11056   PS  NL
  300    13    56    33     0     8    13     40       8052   PS  CH
  300     9    53    27     0     7    13     40       6718   PS  FR
  300    15    59    28     1     9    13     40      10479   PS  IT
  341    15    56    25     0    10    10     40      11423  LEP  GB
  301    15    54    24     0     9    10     40       9770   PS  GB
  441    14    53    29     1     6    13     32       5725   EP  CH
  201    15    53    26     1    11     1     40      11678   EF  CH
  441    10    48    25     0     7     8     40       6664   EP  DE
  201    15    63    32     1    11     6     40      12746   EP  IT
  301    13    56    31     0     9     8     40       8645   EP  CH
  301    15    55    30     0     8    13     40       8813   EF  FR
  301    13    57    28     0     8    12     40       7932   EP  CH
  301    15    57    27     1     8    13     40       9064  LEP  FR
  310    15    61    27     2     8     6     40       8394   EP  IT
  402    13    56    34     0     7     8     40       6440   EP  FR
  502    15    47    25     1     9     3     40       8950   FI  IT
  211    15    53    29     0    11    13     40      15340   PS  AT
  341    15    64    30     0     8     9     40       8286  LEP  CH
  543    10    50    29     0     8    13     40       8394   PE  NL
  341    13    52    29     2     8    12     40       8434  SPS  CH
  200    15    61    32     1    10     5     40      10757  LEP  BE
  310    15    62    28     1     8    12     40       8932  SPS  CH
  300    13    53    29     4     9     7     40       9509   PS  FR
  304    15    55    30     0     8    13     40       8813  LEP  CH
  304    13    47    26     2     9     2     40       8310  LEP  FR
  211    15    55    29     2    13     9     40      17194   PS  GB
  211    15    53    26     0    12    13     40      15581   PS  AT
  200    15    57    32     1    12    12     40      15587  LEP  NO
  304    15    59    33     0     9    13     40      10228  SPS  FR
  202    15    60    29     1    12    12     40      15587  LEP  AT
  304    13    55    31     0     9    11     40       9062  LEP  CH
  304    15    51    29     2     9    11     40      10425   PS  GB
  204    15    53    29     1    11     3     40      12105   PS  IT
  304    15    55    29     1     7    13     40       7850   PS  GB
  316    13    53    27     1     8    10     40       7943  LEP  FR
  316    15    52    25     0     8    13     40       8813  LEP  FR
  304    15    57    26     0     7    13     40       7599  LEP  FR
  300     9    61    32     0    10    13     40      10703   EP  CH
  216     8    51    29     0     9    11     40       8834  LEP  CH
  301    15    52    26     1     7    13     40       7850   EP  ES
  317    15    49    26     2     7    13     40       8101   EF  FR
  402    13    56    27     2     7    13     40       7448   PS  FR
  211    15    51    25     1    12    11     40      15342  LEP  AT
  530     8    45    25     0     7     8     40       6212  LEP  FR
  211    11    53    27     0    13    10     40      16394  LEP  DE
  216    14    56    33     0    10     6     40      10689  LEP  CH
  204    15    53    26     1    12    12     40      15587  LEP  DK
  300    13    53    31     0     9    13     40       9341  LEP  FR
  211    15    60    33     1    13    10     40      17246  LEP  DE
  204    15    56    30     0    13    10     40      16995   ST  DE
  204    15    56    25     2    12    13     40      16083   PS  DE
  304    15    51    25     1     9     6     40       9409  LEP  FR
  211    15    57    33     2    13    10     40      17497  SPS  NL
  211    15    56    31     2    13    10     40      17497  SPS  NL
  200    15    52    28     0     9    13     40      10228  SPS  DE
  316    11    51    28     0     7    13     40       7208  LEP  DE
  200    15    54    25     1    13     8     40      16640  SPS  SE
  211    15    55    26     0    12    13     40      15581  LEP  GB
  400    13    52    27     1     6    13     40       6404  LEP  FR
  300    13    59    33     0     9    13     40       9341  LEP  CH
  200    15    62    27     0    11    13     40      15340  LEP  FR
