2017-07-03 01:00:00 15.9666666667
2017-07-03 02:00:00 15.9
2017-07-03 03:00:00 15
2017-07-03 04:00:00 14.5666666667
2017-07-03 05:00:00 13.1166666667
2017-07-03 06:00:00 11
2017-07-03 07:00:00 10.7
2017-07-03 08:00:00 11
2017-07-03 09:00:00 11.8833333333
2017-07-03 10:00:00 15.4833333333
2017-07-03 11:00:00 22.1
2017-07-03 12:00:00 30.65
2017-07-03 13:00:00 36.2166666667
2017-07-03 14:00:00 43.6833333333
2017-07-03 15:00:00 48.3166666667
2017-07-03 16:00:00 51.2333333333
2017-07-03 17:00:00 51.6166666667
2017-07-03 18:00:00 47.0166666667
2017-07-03 19:00:00 44.4666666667
2017-07-03 20:00:00 43.5833333333
2017-07-03 21:00:00 35.8
2017-07-03 22:00:00 30.0166666667
2017-07-03 23:00:00 26.9333333333
2017-07-04 00:00:00 19.5833333333
2017-07-04 01:00:00 18
2017-07-04 02:00:00 16.5333333333
2017-07-04 03:00:00 15.3333333333
2017-07-04 04:00:00 15.1333333333
2017-07-04 05:00:00 15.2166666667
2017-07-04 06:00:00 14.0833333333
2017-07-04 07:00:00 14
2017-07-04 08:00:00 14.3
2017-07-04 09:00:00 19.4
2017-07-04 10:00:00 29.1666666667
2017-07-04 11:00:00 35.75
2017-07-04 12:00:00 42.7166666667
2017-07-04 13:00:00 48.4833333333
2017-07-04 14:00:00 54.4333333333
2017-07-04 15:00:00 59.9333333333
2017-07-04 16:00:00 64.1333333333
2017-07-04 17:00:00 68.1
2017-07-04 18:00:00 63.8
2017-07-04 19:00:00 61.7333333333
2017-07-04 20:00:00 57.6666666667
2017-07-04 21:00:00 56.9166666667
2017-07-04 22:00:00 48.3
2017-07-04 23:00:00 38.3
2017-07-05 00:00:00 29.5166666667
2017-07-05 01:00:00 27.2666666667
2017-07-05 02:00:00 26
2017-07-05 03:00:00 24
2017-07-05 04:00:00 23.0166666667
2017-07-05 05:00:00 21.1833333333
2017-07-05 06:00:00 18.4333333333
2017-07-05 07:00:00 15.9333333333
2017-07-05 08:00:00 16.2666666667
2017-07-05 09:00:00 21.4666666667
2017-07-05 10:00:00 29.6333333333
2017-07-05 11:00:00 38.6833333333
2017-07-05 12:00:00 44.6166666667
2017-07-05 13:00:00 47.5166666667
2017-07-05 14:00:00 64.0166666667
2017-07-05 15:00:00 79.8833333333
2017-07-05 16:00:00 113.05
2017-07-05 17:00:00 123.8333333333
2017-07-05 18:00:00 118.2833333333
2017-07-05 19:00:00 116.6166666667
2017-07-05 20:00:00 115.5166666667
2017-07-05 21:00:00 108.7166666667
2017-07-05 22:00:00 86.85
